meeting_id,event_title,age_group,chip_time,gun_time,name,position,race_title,sex,terrain,race_date,race_location,uniqueID
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
98503,Lindsays Borders Marathon,31,31,31,31,31,31,31,31,31,31,31
98548,Meadows Marathon,42,42,42,42,42,42,42,42,42,42,42
98584,Walled City Marathon,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324
99275,Shakespeare Raceway Marathon,64,64,64,64,64,64,64,64,64,64,64
101728,Mablethorpe Marathon,199,199,199,199,199,199,199,199,199,199,199
104389,Belfast City Marathon,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
,,,,,,,,,,,,
104809,Worcester Marathon,246,246,246,246,246,246,246,246,246,246,246
,,,,,,,,,,,,
105134,Flying Fox Marathon,145,145,145,145,145,145,145,145,145,145,145
,,,,,,,,,,,,
,,,,,,,,,,,,
106983,Newry City Marathon,177,177,177,177,177,177,177,177,177,177,177
,,,,,,,,,,,,
108092,Guernsey Waterfront Marathon,168,168,168,168,168,168,168,168,168,168,168
114991,Callanish Stones Marathon,125,125,125,125,125,125,125,125,125,125,125
,,,,,,,,,,,,
117191,Standard Chartered Jersey Marathon,363,363,363,363,363,363,363,363,363,363,363
117342,Isle of Wight Marathon,140,140,140,140,140,140,140,140,140,140,140
,,,,,,,,,,,,
118728,Run Northumberland Castles Marathon,73,73,73,73,73,73,73,73,73,73,73
,,,,,,,,,,,,
,,,,,,,,,,,,
118859,Dartmoor Vale Marathon,105,105,105,105,105,105,105,105,105,105,105
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
123282,Meadows Marathon,53,53,53,53,53,53,53,53,53,53,53
,,,,,,,,,,,,
126365,Raceways Spring Shakespeare Marathon,77,77,77,77,77,77,77,77,77,77,77
127731,Starfish Bexhill Marathon,23,23,23,23,23,23,23,23,23,23,23
128123,Wrexham Marathon,188,188,188,188,188,188,188,188,188,188,188
129611,Bristol - Bath Marathon,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499
134109,SSE Airtricity Walled City Marathon,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
139644,Newry City Marathon,163,163,163,163,163,163,163,163,163,163,163
140740,Dartford Midnight Marathon,103,103,103,103,103,103,103,103,103,103,103
141962,Mablethorpe Marathon,171,171,171,171,171,171,171,171,171,171,171
,,,,,,,,,,,,
142540,Potteries Marathon,660,660,660,660,660,660,660,660,660,660,660
143554,The Twilight Ultra Run Marathon,23,23,23,23,23,23,23,23,23,23,23
143986,Guernsey Marathon,141,141,141,141,141,141,141,141,141,141,141
145077,BHF Gloucester City Marathon,639,639,639,639,639,639,639,639,639,639,639
145182,IOM Marathon,83,83,83,83,83,83,83,83,83,83,83
,,,,,,,,,,,,
148370,Standard Chartered Jersey Marathon,400,400,400,400,400,400,400,400,400,400,400
149520,Isle of Wight Marathon,151,151,151,151,151,151,151,151,151,151,151
,,,,,,,,,,,,
