bin,xval,yval,dx
0,10.22699,0.00000,0.17952
1,10.40651,0.00013,0.17952
2,10.58603,0.00032,0.17952
3,10.76555,0.00077,0.17952
4,10.94507,0.00115,0.17952
5,11.12459,0.00147,0.17952
6,11.30412,0.00262,0.17952
7,11.48364,0.00351,0.17952
8,11.66316,0.00486,0.17952
9,11.84268,0.00633,0.17952
10,12.02220,0.00773,0.17952
11,12.20172,0.01022,0.17952
12,12.38124,0.01310,0.17952
13,12.56077,0.01700,0.17952
14,12.74029,0.02243,0.17952
15,12.91981,0.02837,0.17952
16,13.09933,0.03457,0.17952
17,13.27885,0.04198,0.17952
18,13.45837,0.05112,0.17952
19,13.63789,0.06166,0.17952
20,13.81742,0.07259,0.17952
21,13.99694,0.08594,0.17952
22,14.17646,0.10179,0.17952
23,14.35598,0.11617,0.17952
24,14.53550,0.13304,0.17952
25,14.71502,0.15112,0.17952
26,14.89454,0.17112,0.17952
27,15.07406,0.19444,0.17952
28,15.25359,0.21681,0.17952
29,15.43311,0.23879,0.17952
30,15.61263,0.26217,0.17952
31,15.79215,0.28530,0.17952
32,15.97167,0.30946,0.17952
33,16.15119,0.33617,0.17952
34,16.33071,0.36160,0.17952
35,16.51024,0.38601,0.17952
36,16.68976,0.41169,0.17952
37,16.86928,0.43808,0.17952
38,17.04880,0.46575,0.17952
39,17.22832,0.49291,0.17952
40,17.40784,0.51981,0.17952
41,17.58736,0.54588,0.17952
42,17.76689,0.56978,0.17952
43,17.94641,0.59527,0.17952
44,18.12593,0.61994,0.17952
45,18.30545,0.64396,0.17952
46,18.48497,0.66709,0.17952
47,18.66449,0.68958,0.17952
48,18.84401,0.71380,0.17952
49,19.02354,0.73342,0.17952
50,19.20306,0.75252,0.17952
51,19.38258,0.77118,0.17952
52,19.56210,0.78754,0.17952
53,19.74162,0.80319,0.17952
54,19.92114,0.81866,0.17952
55,20.10066,0.83291,0.17952
56,20.28018,0.84505,0.17952
57,20.45971,0.85725,0.17952
58,20.63923,0.86907,0.17952
59,20.81875,0.88026,0.17952
60,20.99827,0.89016,0.17952
61,21.17779,0.90026,0.17952
62,21.35731,0.90569,0.17952
63,21.53683,0.91361,0.17952
64,21.71636,0.92038,0.17952
65,21.89588,0.92748,0.17952
66,22.07540,0.93310,0.17952
67,22.25492,0.93770,0.17952
68,22.43444,0.94326,0.17952
69,22.61396,0.94786,0.17952
70,22.79348,0.95246,0.17952
71,22.97301,0.95527,0.17952
72,23.15253,0.95827,0.17952
73,23.33205,0.96166,0.17952
74,23.51157,0.96505,0.17952
75,23.69109,0.96799,0.17952
76,23.87061,0.97048,0.17952
77,24.05013,0.97284,0.17952
78,24.22966,0.97463,0.17952
79,24.40918,0.97668,0.17952
80,24.58870,0.97815,0.17952
81,24.76822,0.97955,0.17952
82,24.94774,0.98109,0.17952
83,25.12726,0.98230,0.17952
84,25.30678,0.98351,0.17952
85,25.48631,0.98473,0.17952
86,25.66583,0.98556,0.17952
87,25.84535,0.98754,0.17952
88,26.02487,0.98863,0.17952
89,26.20439,0.98965,0.17952
90,26.38391,0.99048,0.17952
91,26.56343,0.99144,0.17952
92,26.74295,0.99227,0.17952
93,26.92248,0.99297,0.17952
94,27.10200,0.99361,0.17952
95,27.28152,0.99425,0.17952
96,27.46104,0.99444,0.17952
97,27.64056,0.99470,0.17952
98,27.82008,0.99508,0.17952
99,27.99960,0.99546,0.17952
100,28.17913,0.99585,0.17952
101,28.35865,0.99629,0.17952
102,28.53817,0.99655,0.17952
103,28.71769,0.99681,0.17952
104,28.89721,0.99712,0.17952
105,29.07673,0.99764,0.17952
106,29.25625,0.99783,0.17952
107,29.43578,0.99802,0.17952
108,29.61530,0.99834,0.17952
109,29.79482,0.99853,0.17952
110,29.97434,0.99872,0.17952
111,30.15386,0.99879,0.17952
112,30.33338,0.99904,0.17952
113,30.51290,0.99904,0.17952
114,30.69243,0.99923,0.17952
115,30.87195,0.99923,0.17952
116,31.05147,0.99936,0.17952
117,31.23099,0.99942,0.17952
118,31.41051,0.99942,0.17952
119,31.59003,0.99949,0.17952
120,31.76955,0.99955,0.17952
121,31.94907,0.99962,0.17952
122,32.12860,0.99962,0.17952
123,32.30812,0.99968,0.17952
124,32.48764,0.99974,0.17952
125,32.66716,0.99974,0.17952
126,32.84668,0.99974,0.17952
127,33.02620,0.99974,0.17952
128,33.20572,0.99981,0.17952
129,33.38525,0.99981,0.17952
130,33.56477,0.99981,0.17952
131,33.74429,0.99981,0.17952
132,33.92381,0.99981,0.17952
133,34.10333,0.99981,0.17952
134,34.28285,0.99981,0.17952
135,34.46237,0.99981,0.17952
136,34.64190,0.99981,0.17952
137,34.82142,0.99981,0.17952
138,35.00094,0.99981,0.17952
139,35.18046,0.99981,0.17952
140,35.35998,0.99981,0.17952
141,35.53950,0.99987,0.17952
142,35.71902,0.99987,0.17952
143,35.89855,0.99987,0.17952
144,36.07807,0.99987,0.17952
145,36.25759,0.99987,0.17952
146,36.43711,0.99987,0.17952
147,36.61663,0.99987,0.17952
148,36.79615,0.99987,0.17952
149,36.97567,0.99987,0.17952
150,37.15520,0.99987,0.17952
151,37.33472,0.99987,0.17952
152,37.51424,0.99987,0.17952
153,37.69376,0.99987,0.17952
154,37.87328,0.99987,0.17952
155,38.05280,0.99987,0.17952
156,38.23232,0.99987,0.17952
157,38.41184,0.99987,0.17952
158,38.59137,0.99987,0.17952
159,38.77089,0.99987,0.17952
160,38.95041,0.99987,0.17952
161,39.12993,0.99987,0.17952
162,39.30945,0.99987,0.17952
163,39.48897,0.99987,0.17952
164,39.66849,0.99987,0.17952
165,39.84802,0.99987,0.17952
166,40.02754,0.99987,0.17952
167,40.20706,0.99987,0.17952
168,40.38658,0.99987,0.17952
169,40.56610,0.99987,0.17952
170,40.74562,0.99987,0.17952
171,40.92514,0.99987,0.17952
172,41.10467,0.99987,0.17952
173,41.28419,0.99987,0.17952
174,41.46371,0.99987,0.17952
175,41.64323,0.99987,0.17952
176,41.82275,0.99987,0.17952
177,42.00227,0.99987,0.17952
178,42.18179,0.99987,0.17952
179,42.36132,0.99987,0.17952
180,42.54084,0.99994,0.17952
181,42.72036,0.99994,0.17952
182,42.89988,0.99994,0.17952
183,43.07940,0.99994,0.17952
184,43.25892,0.99994,0.17952
185,43.43844,0.99994,0.17952
186,43.61796,0.99994,0.17952
187,43.79749,0.99994,0.17952
188,43.97701,0.99994,0.17952
189,44.15653,0.99994,0.17952
190,44.33605,0.99994,0.17952
191,44.51557,0.99994,0.17952
192,44.69509,0.99994,0.17952
193,44.87461,0.99994,0.17952
194,45.05414,0.99994,0.17952
195,45.23366,0.99994,0.17952
196,45.41318,0.99994,0.17952
197,45.59270,0.99994,0.17952
198,45.77222,0.99994,0.17952
199,45.95174,0.99994,0.17952
