bin,xval,yval,dx
0,67.48729,0.00000,0.95382
1,68.44111,0.00027,0.95382
2,69.39493,0.00054,0.95382
3,70.34875,0.00054,0.95382
4,71.30257,0.00054,0.95382
5,72.25639,0.00081,0.95382
6,73.21021,0.00135,0.95382
7,74.16403,0.00162,0.95382
8,75.11785,0.00189,0.95382
9,76.07167,0.00270,0.95382
10,77.02549,0.00351,0.95382
11,77.97931,0.00405,0.95382
12,78.93313,0.00540,0.95382
13,79.88695,0.00674,0.95382
14,80.84078,0.00755,0.95382
15,81.79460,0.01079,0.95382
16,82.74842,0.01214,0.95382
17,83.70224,0.01484,0.95382
18,84.65606,0.01780,0.95382
19,85.60988,0.02077,0.95382
20,86.56370,0.02482,0.95382
21,87.51752,0.02913,0.95382
22,88.47134,0.03426,0.95382
23,89.42516,0.03885,0.95382
24,90.37898,0.04559,0.95382
25,91.33280,0.05098,0.95382
26,92.28662,0.06204,0.95382
27,93.24044,0.07230,0.95382
28,94.19426,0.08848,0.95382
29,95.14808,0.09819,0.95382
30,96.10191,0.10925,0.95382
31,97.05573,0.12031,0.95382
32,98.00955,0.13137,0.95382
33,98.96337,0.13974,0.95382
34,99.91719,0.15457,0.95382
35,100.87101,0.17103,0.95382
36,101.82483,0.18721,0.95382
37,102.77865,0.19962,0.95382
38,103.73247,0.21635,0.95382
39,104.68629,0.23388,0.95382
40,105.64011,0.25169,0.95382
41,106.59393,0.26868,0.95382
42,107.54775,0.28190,0.95382
43,108.50157,0.30078,0.95382
44,109.45539,0.32236,0.95382
45,110.40922,0.34394,0.95382
46,111.36304,0.36525,0.95382
47,112.31686,0.38522,0.95382
48,113.27068,0.40626,0.95382
49,114.22450,0.43108,0.95382
50,115.17832,0.45293,0.95382
51,116.13214,0.46965,0.95382
52,117.08596,0.48988,0.95382
53,118.03978,0.51120,0.95382
54,118.99360,0.53251,0.95382
55,119.94742,0.55436,0.95382
56,120.90124,0.57729,0.95382
57,121.85506,0.60129,0.95382
58,122.80888,0.62962,0.95382
59,123.76270,0.65093,0.95382
60,124.71652,0.66550,0.95382
61,125.67035,0.68924,0.95382
62,126.62417,0.70623,0.95382
63,127.57799,0.72538,0.95382
64,128.53181,0.74616,0.95382
65,129.48563,0.76180,0.95382
66,130.43945,0.78095,0.95382
67,131.39327,0.79714,0.95382
68,132.34709,0.80820,0.95382
69,133.30091,0.82493,0.95382
70,134.25473,0.83626,0.95382
71,135.20855,0.84920,0.95382
72,136.16237,0.86242,0.95382
73,137.11619,0.87888,0.95382
74,138.07001,0.89398,0.95382
75,139.02383,0.90666,0.95382
76,139.97765,0.91772,0.95382
77,140.93148,0.92824,0.95382
78,141.88530,0.93742,0.95382
79,142.83912,0.94335,0.95382
80,143.79294,0.94794,0.95382
81,144.74676,0.95225,0.95382
82,145.70058,0.95738,0.95382
83,146.65440,0.96169,0.95382
84,147.60822,0.96493,0.95382
85,148.56204,0.96844,0.95382
86,149.51586,0.97248,0.95382
87,150.46968,0.97545,0.95382
88,151.42350,0.97680,0.95382
89,152.37732,0.98085,0.95382
90,153.33114,0.98301,0.95382
91,154.28496,0.98732,0.95382
92,155.23879,0.98948,0.95382
93,156.19261,0.99110,0.95382
94,157.14643,0.99218,0.95382
95,158.10025,0.99353,0.95382
96,159.05407,0.99487,0.95382
97,160.00789,1.00000,0.95382
