bin,xval,yval,dx,race_type
0,22.84578,0,0.20605,10K
1,23.05183,0.00013,0.20605,10K
2,23.25788,0.00033,0.20605,10K
3,23.46393,0.00052,0.20605,10K
4,23.66997,0.00085,0.20605,10K
5,23.87602,0.00131,0.20605,10K
6,24.08207,0.00177,0.20605,10K
7,24.28812,0.00223,0.20605,10K
8,24.49416,0.00334,0.20605,10K
9,24.70021,0.00432,0.20605,10K
10,24.90626,0.00556,0.20605,10K
11,25.1123,0.00641,0.20605,10K
12,25.31835,0.00812,0.20605,10K
13,25.5244,0.00943,0.20605,10K
14,25.73045,0.0106,0.20605,10K
15,25.93649,0.01152,0.20605,10K
16,26.14254,0.01283,0.20605,10K
17,26.34859,0.01466,0.20605,10K
18,26.55464,0.01617,0.20605,10K
19,26.76068,0.01748,0.20605,10K
20,26.96673,0.01951,0.20605,10K
21,27.17278,0.0214,0.20605,10K
22,27.37882,0.02389,0.20605,10K
23,27.58487,0.02638,0.20605,10K
24,27.79092,0.02821,0.20605,10K
25,27.99697,0.03103,0.20605,10K
26,28.20301,0.03384,0.20605,10K
27,28.40906,0.03659,0.20605,10K
28,28.61511,0.03894,0.20605,10K
29,28.82116,0.04215,0.20605,10K
30,29.0272,0.04595,0.20605,10K
31,29.23325,0.04961,0.20605,10K
32,29.4393,0.05341,0.20605,10K
33,29.64535,0.05793,0.20605,10K
34,29.85139,0.06218,0.20605,10K
35,30.05744,0.0667,0.20605,10K
36,30.26349,0.07062,0.20605,10K
37,30.46953,0.0756,0.20605,10K
38,30.67558,0.08044,0.20605,10K
39,30.88163,0.08568,0.20605,10K
40,31.08768,0.09085,0.20605,10K
41,31.29372,0.0955,0.20605,10K
42,31.49977,0.10027,0.20605,10K
43,31.70582,0.10597,0.20605,10K
44,31.91187,0.11107,0.20605,10K
45,32.11791,0.11742,0.20605,10K
46,32.32396,0.12325,0.20605,10K
47,32.53001,0.1296,0.20605,10K
48,32.73605,0.13536,0.20605,10K
49,32.9421,0.14321,0.20605,10K
50,33.14815,0.1491,0.20605,10K
51,33.3542,0.15591,0.20605,10K
52,33.56024,0.16246,0.20605,10K
53,33.76629,0.16861,0.20605,10K
54,33.97234,0.17568,0.20605,10K
55,34.17839,0.1819,0.20605,10K
56,34.38443,0.18805,0.20605,10K
57,34.59048,0.19518,0.20605,10K
58,34.79653,0.20225,0.20605,10K
59,35.00257,0.2103,0.20605,10K
60,35.20862,0.21816,0.20605,10K
61,35.41467,0.22536,0.20605,10K
62,35.62072,0.23197,0.20605,10K
63,35.82676,0.23949,0.20605,10K
64,36.03281,0.24761,0.20605,10K
65,36.23886,0.25488,0.20605,10K
66,36.44491,0.26358,0.20605,10K
67,36.65095,0.27163,0.20605,10K
68,36.857,0.27995,0.20605,10K
69,37.06305,0.288,0.20605,10K
70,37.26909,0.29827,0.20605,10K
71,37.47514,0.30698,0.20605,10K
72,37.68119,0.31588,0.20605,10K
73,37.88724,0.32465,0.20605,10K
74,38.09328,0.33493,0.20605,10K
75,38.29933,0.34304,0.20605,10K
76,38.50538,0.35286,0.20605,10K
77,38.71143,0.36294,0.20605,10K
78,38.91747,0.37119,0.20605,10K
79,39.12352,0.37898,0.20605,10K
80,39.32957,0.38794,0.20605,10K
81,39.53561,0.39717,0.20605,10K
82,39.74166,0.40738,0.20605,10K
83,39.94771,0.41759,0.20605,10K
84,40.15376,0.42767,0.20605,10K
85,40.3598,0.43828,0.20605,10K
86,40.56585,0.44914,0.20605,10K
87,40.7719,0.45948,0.20605,10K
88,40.97795,0.47041,0.20605,10K
89,41.18399,0.47925,0.20605,10K
90,41.39004,0.48841,0.20605,10K
91,41.59609,0.49823,0.20605,10K
92,41.80213,0.50713,0.20605,10K
93,42.00818,0.51623,0.20605,10K
94,42.21423,0.52651,0.20605,10K
95,42.42028,0.53685,0.20605,10K
96,42.62632,0.54719,0.20605,10K
97,42.83237,0.55701,0.20605,10K
98,43.03842,0.56539,0.20605,10K
99,43.24447,0.57625,0.20605,10K
100,43.45051,0.58653,0.20605,10K
101,43.65656,0.59766,0.20605,10K
102,43.86261,0.60911,0.20605,10K
103,44.06865,0.61814,0.20605,10K
104,44.2747,0.63104,0.20605,10K
105,44.48075,0.64092,0.20605,10K
106,44.6868,0.651,0.20605,10K
107,44.89284,0.65886,0.20605,10K
108,45.09889,0.66789,0.20605,10K
109,45.30494,0.67692,0.20605,10K
110,45.51099,0.68471,0.20605,10K
111,45.71703,0.69217,0.20605,10K
112,45.92308,0.69983,0.20605,10K
113,46.12913,0.70729,0.20605,10K
114,46.33517,0.71456,0.20605,10K
115,46.54122,0.72084,0.20605,10K
116,46.74727,0.72758,0.20605,10K
117,46.95332,0.73524,0.20605,10K
118,47.15936,0.74192,0.20605,10K
119,47.36541,0.74755,0.20605,10K
120,47.57146,0.75455,0.20605,10K
121,47.77751,0.76175,0.20605,10K
122,47.98355,0.7698,0.20605,10K
